,first_name,Minit,last_name,BDate,Address,gender,Salary
0,Mary,h,Bartosiak,7/23/2020,1002 Boyd Pass,1.0,61994.0
1,Anna,e,Hofer,2/18/2020,8 Scofield Alley,1.0,96359.0
2,Emma,Z,MacBarron,9/13/2020,8 Anhalt Plaza,1.0,20380.0
3,Elizabeth,Q,Titchard,8/9/2016,1259 Meadow Vale Point,0.0,61050.0
4,Minnie,S,Keynd,3/12/2015,6265 Di Loreto Point,2.0,99380.0
5,Margaret,j,Caherny,6/21/2018,5 Stang Court,0.0,40209.0
6,Ida,r,Prott,9/18/2015,0 Del Mar Court,2.0,25022.0
7,Alice,H,Manoelli,12/7/2021,4 Troy Trail,2.0,46682.0
8,Bertha,W,Doxey,12/13/2018,54481 Washington Center,2.0,23570.0
9,Sarah,u,Bickley,2/4/2017,644 Westerfield Center,2.0,67196.0
10,Annie,H,McCaughran,10/17/2021,51222 Schmedeman Junction,2.0,11223.0
11,Clara,i,Primo,6/8/2017,59248 Carey Avenue,2.0,1289.0
12,Ella,T,Joannidi,2/22/2021,9259 Packers Avenue,2.0,32829.0
13,Florence,V,Sanbrook,12/5/2020,03725 Chive Hill,2.0,81785.0
14,Cora,U,Birkwood,9/1/2022,3 Cody Trail,2.0,89443.0
15,Martha,Z,Mantione,2/11/2015,74 Talmadge Point,0.0,80180.0
16,Laura,s,Tallow,11/24/2018,00897 Ridgeview Point,2.0,33750.0
17,Nellie,f,Ovens,12/14/2017,1 Lyons Parkway,0.0,91380.0
18,Grace,Y,Bearns,9/17/2015,58 Delaware Plaza,2.0,75447.0
19,Carrie,n,Gauford,5/2/2018,63562 Morrow Street,0.0,14754.0
20,Maude,C,Piccop,1/21/2014,89156 Sunnyside Road,1.0,8499.0
21,Mabel,Q,Seeviour,3/24/2016,683 Walton Junction,1.0,15231.0
22,Bessie,J,Coad,7/16/2019,2 Harbort Plaza,0.0,37244.0
23,Jennie,W,Fairall,8/29/2022,216 Straubel Avenue,2.0,99405.0
24,Gertrude,L,Bielfeld,6/2/2013,8373 Duke Avenue,0.0,46860.0
25,Julia,j,Nesbit,3/1/2015,9 Clemons Trail,2.0,49521.0
26,Hattie,i,Mc Andrew,6/2/2015,827 Thackeray Drive,1.0,24404.0
27,Edith,I,Krishtopaittis,11/2/2013,10 Judy Court,1.0,7858.0
28,Mattie,N,Leckenby,8/31/2014,4431 Rigney Lane,1.0,63271.0
29,Rose,w,Marquess,11/14/2022,03 Golden Leaf Circle,1.0,21789.0
30,Catherine,d,Suerz,3/21/2020,0309 Continental Road,0.0,82510.0
31,Lillian,R,Limming,4/30/2018,702 Armistice Drive,2.0,29200.0
32,Ada,V,Harteley,2/22/2022,12337 Packers Junction,1.0,14179.0
33,Lillie,K,Saturley,11/18/2017,30754 Tennessee Road,1.0,74368.0
34,Helen,U,Fawlks,12/11/2020,2713 Bluestem Court,1.0,16764.0
35,Jessie,n,Cregan,9/26/2013,081 Mcguire Drive,0.0,51087.0
36,Louise,R,Mollin,8/4/2013,21039 Morrow Road,2.0,25593.0
37,Ethel,Z,Clayal,3/6/2018,65 Lukken Court,0.0,88555.0
38,Lula,g,Spottiswoode,3/30/2014,9 Harper Lane,1.0,66292.0
39,Myrtle,O,Shapcott,10/15/2013,8017 Bowman Plaza,1.0,12668.0
40,Eva,m,Allwell,12/15/2015,84 Shopko Alley,2.0,74156.0
41,Frances,d,Emanueli,2/16/2017,26251 Myrtle Parkway,0.0,76894.0
42,Lena,S,Emmison,3/20/2017,4441 Dottie Terrace,1.0,86197.0
43,Lucy,q,Harewood,12/5/2015,4 Old Gate Way,0.0,20131.0
44,Edna,K,Malenoir,4/28/2020,7668 Scoville Terrace,0.0,97248.0
45,Maggie,E,Matthisson,3/10/2021,832 Scofield Circle,0.0,89858.0
46,Pearl,a,Mallia,8/27/2018,79617 Dakota Trail,1.0,74088.0
47,Daisy,o,Abramow,7/1/2020,00 Montana Park,2.0,7838.0
48,Fannie,V,Batterson,2/19/2022,6 Mendota Trail,2.0,57041.0
49,Josephine,I,Gratland,8/20/2015,8 Saint Paul Alley,2.0,96244.0
50,Dora,x,Eldredge,12/14/2021,319 Namekagon Center,1.0,50979.0
51,Rosa,Z,Jellico,10/20/2018,9791 Green Point,0.0,74218.0
52,Katherine,T,Willford,1/10/2019,87 Sommers Pass,1.0,93568.0
53,Agnes,x,Bailie,3/18/2019,1718 Farragut Circle,0.0,5054.0
54,Marie,J,Steger,9/2/2019,541 Clemons Plaza,2.0,47556.0
55,Nora,n,Rushbrook,6/24/2020,57791 Cottonwood Crossing,2.0,42712.0
56,May,V,Pulfer,2/17/2021,11581 Magdeline Court,1.0,13481.0
57,Mamie,Z,Haskur,5/23/2014,59232 Lighthouse Bay Place,1.0,69689.0
58,Blanche,h,Ondrich,12/3/2015,2 2nd Place,2.0,6180.0
59,Stella,t,Kiss,10/5/2016,4 Dakota Crossing,0.0,69650.0
60,Ellen,h,Bailie,7/2/2019,8 Hollow Ridge Lane,0.0,34136.0
61,Nancy,E,Mingauld,6/24/2019,277 Namekagon Drive,0.0,33904.0
62,Effie,h,Thomke,8/10/2014,35979 Mandrake Junction,0.0,90284.0
63,Sallie,p,Puden,10/11/2019,55359 Prairie Rose Crossing,0.0,58600.0
64,Nettie,l,Menier,10/3/2013,6 Cordelia Point,1.0,12513.0
65,Della,k,Ramsay,5/21/2015,48660 Merry Road,1.0,86012.0
66,Lizzie,Z,Videler,11/10/2016,311 Arapahoe Circle,0.0,13030.0
67,Flora,F,Paviour,7/3/2013,965 Oakridge Street,0.0,39776.0
68,Susie,f,Briereton,7/14/2022,26 Kings Circle,1.0,62490.0
69,Maud,p,Loosley,7/26/2019,35 Swallow Court,2.0,99166.0
70,Mae,w,Iddiens,6/17/2016,74 Jenifer Junction,1.0,46297.0
71,Etta,Z,Plaschke,8/27/2017,2020 Onsgard Plaza,1.0,63841.0
72,Harriet,l,McGirl,6/30/2013,543 Pleasure Pass,2.0,17976.0
73,Sadie,R,Grane,2/20/2020,956 Lighthouse Bay Avenue,0.0,91912.0
74,Caroline,e,Carah,7/4/2022,55165 Express Hill,2.0,69867.0
75,Katie,t,Eliyahu,4/27/2014,9 Village Green Alley,0.0,87729.0
76,Lydia,w,Childers,10/10/2020,88706 Arapahoe Avenue,0.0,69983.0
77,Elsie,J,Rickersy,1/18/2021,317 International Park,0.0,87362.0
78,Kate,N,Timmins,2/8/2016,3 Norway Maple Circle,0.0,275.0
79,Susan,q,McKall,12/21/2017,1428 Columbus Pass,0.0,40475.0
80,Mollie,S,Pavlovsky,9/18/2013,3 Ryan Trail,1.0,30498.0
81,Alma,C,Barrowcliffe,1/12/2020,656 Old Gate Crossing,0.0,88066.0
82,Addie,l,Gyppes,12/5/2017,0950 Eastwood Pass,0.0,54062.0
83,Georgia,B,Guppie,5/30/2018,14 Straubel Way,0.0,74586.0
84,Eliza,E,Seivertsen,8/22/2014,3890 Kings Point,2.0,74203.0
85,Lulu,r,Helix,1/21/2017,003 Weeping Birch Hill,2.0,41791.0
86,Nannie,p,Swannack,4/18/2017,69603 Bluejay Parkway,0.0,26548.0
87,Lottie,s,Gyles,9/9/2014,58 Shoshone Court,1.0,67515.0
